,Sr. No,Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date,12,13
200,1,ABB,Electrical Equipment,"423,816,750",16344,0.62,0.82,0.48,3.84,-4.02,0.12,,2008-07-01,,
201,2,ACC,Cement & Cement Products,"1,876,511,140",10948,0.42,0.73,0.36,3.43,11.02,0.1,,2008-07-01,,
202,3,AMBUJACEM,Cement & Cement Products,"3,045,095,596",12401,0.47,0.48,0.25,2.52,7.24,0.15,,2008-07-01,,
203,4,BHARTIARTL,Telecommunication - Services,"18,980,208,040",151595,5.79,0.79,0.37,3.17,10.74,0.09,,2008-07-01,,
204,5,BHEL,Electrical Equipment,"4,895,200,000",82337,3.15,1.09,0.53,4.5,21.93,0.08,,2008-07-01,,
205,6,BPCL,Refineries,"3,615,421,240",11855,0.45,0.79,0.24,4.22,46.51,0.13,,2008-07-01,,
206,7,CAIRN,Oil Exploration,"18,944,297,380",45807,1.75,0.79,0.27,2.72,-11.98,0.09,,2008-07-01,,
207,8,CIPLA,Pharmaceuticals,"1,554,582,714",17015,0.65,0.48,0.23,2.35,3.72,0.08,,2008-07-01,,
208,9,DLF,Construction,"3,409,665,360",87202,3.33,1.4,0.59,6.09,29.04,0.09,,2008-07-01,,
209,10,DRREDDY,Pharmaceuticals,"841,020,430",9573,0.37,0.42,0.18,2.49,-15.03,0.09,,2008-07-01,,
210,11,GAIL,Gas,"8,456,516,000",31763,1.21,0.96,0.45,3.36,12.74,0.13,,2008-07-01,,
211,12,GRASIM,Cement & Cement Products,"916,742,280",16567,0.63,0.71,0.49,2.25,-2.31,0.11,,2008-07-01,,
212,13,HCLTECH,Computers - Software,"1,332,680,544",13350,0.51,0.82,0.32,3.42,-20.67,0.13,,2008-07-01,,
213,14,HDFC,Finance - Housing,"2,842,102,400",64725,2.47,1.06,0.48,5.86,15.9,0.1,,2008-07-01,,
214,15,HDFCBANK,Banks,"4,248,331,760",46653,1.78,1.07,0.55,5.35,9.01,0.1,,2008-07-01,,
215,16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000",16052,0.61,0.46,0.18,2.91,16.11,0.12,,2008-07-01,,
216,17,HINDALCO,Aluminium,"1,227,185,338",17346,0.66,1.17,0.5,3.34,-0.67,0.12,,2008-07-01,,
217,18,HINDUNILVR,Diversified,"2,178,340,996",52204,1.99,0.53,0.25,2.1,15.69,0.09,,2008-07-01,,
218,19,ICICIBANK,Banks,"11,125,152,400",70901,2.71,1.28,0.62,6.08,1.13,0.09,,2008-07-01,,
219,20,IDEA,Telecommunication - Services,"26,353,605,390",23204,0.89,0.81,0.35,3.8,-5.73,0.11,,2008-07-01,,
220,21,INFOSYSTCH,Computers - Software,"2,861,715,880",90628,3.46,0.66,0.3,3.36,-8.83,0.07,,2008-07-01,,
221,22,ITC,Cigarettes,"3,768,610,050",70398,2.69,0.71,0.36,3.41,-0.53,0.1,,2008-07-01,,
222,23,LT,Engineering,"584,811,524",76188,2.91,1.08,0.56,4.41,19.26,0.07,,2008-07-01,,
223,24,M&M,Automobile - 4 wheelers,"2,457,418,130",12846,0.49,0.74,0.38,3.18,7.0,0.14,,2008-07-01,,
224,25,MARUTI,Automobile - 4 wheelers,"1,444,550,300",16631,0.64,0.7,0.32,4.2,-6.63,0.1,,2008-07-01,,
225,26,NATIONALUM,Aluminium,"6,443,096,280",27361,1.05,0.75,0.17,4.39,20.91,0.15,,2008-07-01,,
226,27,NTPC,Power,"82,454,644,000",140461,5.37,1.11,0.58,2.99,12.15,0.1,,2008-07-01,,
227,28,ONGC,Oil Exploration,"21,388,725,300",213085,8.14,1.01,0.56,3.01,22.23,0.1,,2008-07-01,,
228,29,PNB,Banks,"3,153,025,000",14244,0.54,1.03,0.52,4.3,21.03,0.12,,2008-07-01,,
229,30,POWERGRID,Power,"42,088,412,300",39879,1.52,1.15,0.53,4.0,20.7,0.12,,2008-07-01,,
230,31,RANBAXY,Pharmaceuticals,"1,870,348,940",18629,0.71,0.57,0.2,5.66,-4.79,0.08,,2008-07-01,,
231,32,RCOM,Telecommunication - Services,"10,320,134,405",103336,3.95,1.22,0.62,5.2,13.06,0.1,,2008-07-01,,
232,33,RELINFRA,Power,"2,319,702,620",22387,0.86,1.82,0.64,6.03,23.17,0.09,,2008-07-01,,
233,34,RELIANCE,Refineries,"14,536,486,010",320893,12.26,1.1,0.74,3.51,5.36,0.07,,2008-07-01,,
234,35,RPL,Refineries,"45,000,000,000",74138,2.83,1.26,0.5,3.22,-3.4,0.08,,2008-07-01,,
235,36,SAIL,Steel & Steel Products,"41,304,005,450",58094,2.22,1.38,0.62,4.5,0.82,0.12,,2008-07-01,,
236,37,SATYAMCOMP,Computers - Software,"1,345,482,214",25648,0.98,0.63,0.24,4.03,-12.73,0.08,,2008-07-01,,
237,38,SBIN,Banks,"6,348,802,220",89978,3.44,1.04,0.58,4.45,27.5,0.1,,2008-07-01,,
238,39,SIEMENS,Electrical Equipment,"674,320,400",18465,0.71,0.99,0.45,5.16,41.82,0.13,,2008-07-01,,
239,40,STER,Metals,"1,416,971,700",44929,1.72,1.11,0.46,3.85,-9.12,0.1,,2008-07-01,,
240,41,SUNPHARMA,Pharmaceuticals,"1,035,581,955",29224,1.12,0.36,0.11,2.16,0.72,0.09,,2008-07-01,,
241,42,SUZLON,Electrical Equipment,"2,996,500,800",33426,1.28,1.11,0.41,4.26,3.31,0.11,,2008-07-01,,
242,43,TATACOMM,Telecommunication - Services,"2,850,000,000",12844,0.49,1.08,0.38,4.51,20.91,0.14,,2008-07-01,,
243,44,TATAMOTORS,Automobile - 4 wheelers,"3,856,187,230",15560,0.59,0.78,0.46,3.75,-5.29,0.11,,2008-07-01,,
244,45,TATAPOWER,Power,"2,208,541,210",25568,0.98,1.26,0.42,5.17,9.53,0.1,,2008-07-01,,
245,46,TATASTEEL,Steel & Steel Products,"7,307,674,270",47873,1.83,1.1,0.5,4.74,-10.12,0.09,,2008-07-01,,
246,47,TCS,Computers - Software,"978,610,498",81592,3.12,0.75,0.38,3.75,-2.85,0.1,,2008-07-01,,
247,48,UNITECH,Construction,"3,246,750,000",26607,1.02,1.56,0.58,5.3,-4.38,0.11,,2008-07-01,,
248,49,WIPRO,Computers - Software,"2,924,126,844",60734,2.32,0.75,0.35,3.44,-5.58,0.13,,2008-07-01,,
249,50,ZEEL,Media & Entertainment,"434,007,111",8415,0.32,0.66,0.28,3.34,-3.05,0.12,,2008-07-01,,
250,1,ABB,Electrical Equipment,"423,816,750",23732,0.8,0.86,0.48,3.14,-25.94,0.15,,2008-01-01,,
251,2,ACC,Cement & Cement Products,"1,876,243,140",14411,0.49,0.89,0.36,3.73,-25.05,0.17,,2008-01-01,,
252,3,BAJAJAUTO,Automobiles - 2 and 3 wheelers,"1,011,835,100",23870,0.8,0.64,0.25,4.75,-10.23,0.17,,2008-01-01,,
253,4,BHARTIARTL,Telecommunication - Services,"18,978,832,460",163000,5.49,0.89,0.42,3.08,-13.8,0.15,,2008-01-01,,
254,5,BHEL,Electrical Equipment,"4,895,200,000",100856,3.4,1.1,0.58,3.34,-20.44,0.11,,2008-01-01,,
255,6,BPCL,Refineries,"3,615,421,240",13072,0.44,0.6,0.15,3.75,-30.96,0.21,,2008-01-01,,
256,7,CIPLA,Pharmaceuticals,"1,554,582,714",14710,0.5,0.63,0.26,3.26,-11.0,0.18,,2008-01-01,,
257,8,NTPC,Power,"82,454,644,000",161652,5.45,1.07,0.48,6.08,-21.86,0.17,,2008-01-01,,
258,9,DRREDDY,Pharmaceuticals,"840,678,260",8899,0.3,0.47,0.24,3.4,-27.73,0.15,,2008-01-01,,
259,10,GAIL,Gas,"8,456,516,000",34448,1.16,0.91,0.32,4.58,-25.06,0.21,,2008-01-01,,
260,11,GLAXO,Pharmaceuticals,"847,030,170",6928,0.23,0.47,0.18,2.92,-20.37,0.18,,2008-01-01,,
261,12,GRASIM,Cement & Cement Products,"916,742,100",27058,0.91,0.82,0.48,3.38,-19.41,0.16,,2008-01-01,,
262,13,AMBUJACEM,Cement & Cement Products,"3,043,782,964",18377,0.62,0.46,0.17,2.25,-17.89,0.21,,2008-01-01,,
263,14,HCLTECH,Computers - Software,"1,328,562,184",16052,0.54,0.76,0.32,3.79,-26.69,0.25,,2008-01-01,,
264,15,HDFC,Finance - Housing,"2,831,772,820",80397,2.71,0.79,0.35,2.88,-1.34,0.14,,2008-01-01,,
265,16,HDFCBANK,Banks,"3,542,394,200",55600,1.87,0.99,0.5,3.51,-9.23,0.13,,2008-01-01,,
266,17,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000",13830,0.47,0.46,0.17,3.59,-0.54,0.19,,2008-01-01,,
267,18,HINDALCO,Aluminium,"1,227,184,962",20120,0.68,1.1,0.44,5.66,-23.69,0.21,,2008-01-01,,
268,19,HINDUNILVR,Diversified,"2,177,463,355",45455,1.53,0.63,0.27,4.01,-2.32,0.18,,2008-01-01,,
269,20,CAIRN,Oil Exploration,"17,783,994,200",34599,1.17,0.87,0.38,4.5,-24.37,0.2,,2008-01-01,,
270,21,ICICIBANK,Banks,"11,088,831,770",127189,4.29,1.04,0.5,4.5,-7.4,0.13,,2008-01-01,,
271,22,INFOSYSTCH,Computers - Software,"2,857,980,305",85685,2.89,0.6,0.29,2.72,-15.3,0.09,,2008-01-01,,
272,23,UNITECH,Construction,"3,246,750,000",62265,2.1,1.38,0.38,7.1,-21.6,0.17,,2008-01-01,,
