Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date
JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,154709819,19993,1.57,1.15,0.5,3.16,6.59,0.08,2009-08-01
JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,154709819,18751,1.49,1.13,0.5,3.34,17.98,0.1,2009-07-01
JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,154709819,15894,1.37,1.18,0.52,3.6,19.15,0.1,2009-06-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8268.41,0.09,0.92,0.35,1.58,-0.46,0.07,2010-05-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,10865,0.59,0.69,0.18,2.11,9.33,0.06,2010-12-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8869.95,0.58,0.81,0.32,0.33,1.25,0.06,2010-06-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,9938,0.57,0.66,0.18,1.78,-2.97,0.1,2010-11-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,9953,0.56,0.72,0.21,1.74,-1.86,0.08,2010-10-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8792,0.56,0.68,0.21,1.36,0.22,0.06,2010-08-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,9778,0.59,0.67,0.2,1.86,-7.69,0.08,2011-05-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,9426,0.59,0.61,0.16,1.58,-2.25,0.08,2011-02-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,10820.52,0.63,0.63,0.19,1.1,3.56,0.08,2011-04-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,10449,0.6,0.6,0.17,1.01,10.85,0.06,2011-03-01
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,10017,0.61,0.64,0.17,1.87,-7.7,0.08,2011-01-01
BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,34407.7,0.72,0.76,0.2,1.43,0.89,0.02,2019-05-01
BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,32308.7,0.67,0.76,0.19,1.39,-6.1,0.02,2019-06-01
BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,34669.12,0.74,0.84,0.25,2.96,8.98,0.02,2019-09-01
BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,34102.72,0.72,0.83,0.21,0.98,-6.14,0.02,2019-04-01
BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,30675.43,0.68,0.78,0.21,1.25,-5.06,0.02,2019-07-01
BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,31813.54,0.71,0.77,0.2,1.99,3.71,0.02,2019-08-01
BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,36333.6,0.78,0.88,0.23,1.03,0.94,0.02,2019-03-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271611830,24487.84,0.85,1.04,0.26,1.54,4.45,0.03,2016-04-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271629830,22595.89,0.76,0.98,0.25,1.54,-7.73,0.03,2016-05-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271629830,23496.2,0.77,0.91,0.23,0.89,3.98,0.03,2016-06-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271629830,27454.67,0.87,0.91,0.23,1.67,16.85,0.02,2016-07-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271980830,33088.16,1.05,0.85,0.18,1.84,9.13,0.02,2016-09-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271980830,32007.53,1.01,0.87,0.19,1.48,-3.27,0.03,2016-10-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271980830,30320.33,0.94,0.83,0.18,1.59,1.29,0.02,2016-08-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272035830,29062.93,0.96,1,0.23,1.99,0.85,0.02,2016-12-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272035830,28818.67,0.95,1.04,0.25,3.45,-9.98,0.03,2016-11-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,37912.45,1.05,1.15,0.2,2,9.08,0.02,2017-05-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,36051.69,1,1.29,0.23,1.18,-4.91,0.02,2017-06-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,32172.72,0.98,0.98,0.19,1.78,4.78,0.02,2017-02-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,34756.52,1,1.09,0.21,1.03,1.88,0.02,2017-04-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,40107.33,1.05,1.32,0.25,1.19,11.25,0.02,2017-07-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,34115.87,1,1.1,0.22,1.35,6.04,0.02,2017-03-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,41933.49,1.12,1.31,0.24,2.01,4.55,0.02,2017-08-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272225490,39942.52,1.01,0.89,0.12,1.14,-7.1,0.02,2017-11-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272225490,41635.57,1.1,1.29,0.23,1.37,-0.76,0.02,2017-09-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272225490,42996.29,1.08,1.28,0.22,0.95,3.27,0.02,2017-10-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272367080,40492.86,1,1.06,0.17,1.58,1.33,0.02,2017-12-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272367080,36618.39,0.9,0.95,0.14,1.63,1.91,0.02,2018-02-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272367080,37866.1,0.97,0.9,0.14,1.38,3.41,0.02,2018-03-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272367080,35932.2,0.84,1.11,0.16,1.78,-11.26,0.02,2017-01-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272367080,35932.2,0.84,1.11,0.16,1.78,-11.26,0.02,2018-01-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272555490,41108.23,0.97,0.9,0.15,1.57,-1.31,0.02,2018-05-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272555490,41653.06,0.99,0.86,0.13,1.27,9.92,0.02,2018-04-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272663000,38977.79,0.92,0.87,0.14,1.29,-7.11550926,0.02,2018-06-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272663000,38254.28,0.83,0.81,0.12,1.73,0.94,0.02,2018-08-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272663000,37898.18,0.85,0.89,0.15,1.54,-2.77,0.02,2018-07-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272677000,31910.43,0.74,1.28,0.25,2.09,7.05,0.02,2018-11-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272677000,29809.87,0.72,1.15,0.22,3.78,-9.6,0.03,2018-10-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272677000,32974.01,0.76,0.88,0.14,2.31,-13.80750007,0.02,2018-09-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272747500,32213.55,0.74,1.22,0.25,1.64,-1.06,0.02,2018-12-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272747500,27638.16,0.64,1.36,0.27,2.28,4.54,0.02,2019-02-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272747500,26437.23,0.61,1.26,0.26,2.33,-17.93,0.02,2019-01-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700,27755.52,0.58,1.39,0.26,2.54,-2.06,0.02,2019-05-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700,26629.94,0.55,1.35,0.26,1.03,-4.06,0.02,2019-06-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700,28340.68,0.6,1.47,0.28,1.48,-0.87,0.02,2019-04-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700,22746.86,0.5,1.42,0.28,2.36,-14.58,0.02,2019-07-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700,22622.19,0.5,1.43,0.29,2.49,-0.55,0.02,2019-08-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700,28590.3,0.61,1.44,0.27,2.48,3.42,0.02,2019-03-01
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272888190,24724.36,0.52,1.63,0.38,4.19,9.27,0.02,2019-09-01
HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,287327776,70840.35,0.76,0.96,0.44,1.49,-0.03,0.07,2010-05-01
HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,289448828,75314.2,4.9,1.04,0.5,0.26,1.51,0.06,2010-06-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,21368.75,0.59,1.14,0.28,1.51,1.51,0.04,2017-05-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,18464.03,0.45,0.95,0.15,1.36,-0.83,0.04,2017-12-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,21358.95,0.59,1.14,0.28,1.18,-0.05,0.03,2017-06-01
